Category,Quality,Country,Year,Cases
Irish Whiskey,Standard,United States,1990,243000
Irish Whiskey,Standard,United States,1991,214000
Irish Whiskey,Standard,United States,1992,219500
Irish Whiskey,Standard,United States,1993,225000
Irish Whiskey,Standard,United States,1994,239500
Irish Whiskey,Standard,United States,1995,249000
Irish Whiskey,Standard,United States,1996,259000
Irish Whiskey,Standard,United States,1997,279500
Irish Whiskey,Standard,United States,1998,296750
Irish Whiskey,Standard,United States,1999,322000
Irish Whiskey,Standard,United States,2000,343750
Irish Whiskey,Standard,United States,2001,371250
Irish Whiskey,Standard,United States,2002,398750
Irish Whiskey,Standard,United States,2003,443500
Irish Whiskey,Standard,United States,2004,500250
Irish Whiskey,Standard,United States,2005,572500
Irish Whiskey,Standard,United States,2006,682250
Irish Whiskey,Standard,United States,2007,803000
Irish Whiskey,Standard,United States,2008,975500
Irish Whiskey,Standard,United States,2009,1099250
Irish Whiskey,Standard,United States,2010,1337600
Irish Whiskey,Standard,United States,2011,1652250
Irish Whiskey,Standard,United States,2012,1989750
Irish Whiskey,Standard,United States,2013,2365000
Irish Whiskey,Standard,United States,2014,2463750
Irish Whiskey,Standard,United States,2015,2893250
Irish Whiskey,Standard,United States,2016,3337500
Irish Whiskey,Standard,Ireland,1990,537500
Irish Whiskey,Standard,Ireland,1991,546000
Irish Whiskey,Standard,Ireland,1992,513000
Irish Whiskey,Standard,Ireland,1993,524500
Irish Whiskey,Standard,Ireland,1994,526000
Irish Whiskey,Standard,Ireland,1995,517500
Irish Whiskey,Standard,Ireland,1996,536350
Irish Whiskey,Standard,Ireland,1997,545050
Irish Whiskey,Standard,Ireland,1998,546000
Irish Whiskey,Standard,Ireland,1999,583100
Irish Whiskey,Standard,Ireland,2000,586350
Irish Whiskey,Standard,Ireland,2001,584650
Irish Whiskey,Standard,Ireland,2002,564900
Irish Whiskey,Standard,Ireland,2003,475400
Irish Whiskey,Standard,Ireland,2004,472950
Irish Whiskey,Standard,Ireland,2005,471400
Irish Whiskey,Standard,Ireland,2006,470500
Irish Whiskey,Standard,Ireland,2007,473400
Irish Whiskey,Standard,Ireland,2008,448000
Irish Whiskey,Standard,Ireland,2009,404400
Irish Whiskey,Standard,Ireland,2010,404300
Irish Whiskey,Standard,Ireland,2011,426100
Irish Whiskey,Standard,Ireland,2012,484450
Irish Whiskey,Standard,Ireland,2013,468800
Irish Whiskey,Standard,Ireland,2014,413870
Irish Whiskey,Standard,Ireland,2015,434600
Irish Whiskey,Standard,Ireland,2016,444200
Irish Whiskey,Standard,France,1990,92000
Irish Whiskey,Standard,France,1991,118000
Irish Whiskey,Standard,France,1992,137000
Irish Whiskey,Standard,France,1993,151000
Irish Whiskey,Standard,France,1994,161000
Irish Whiskey,Standard,France,1995,181000
Irish Whiskey,Standard,France,1996,225000
Irish Whiskey,Standard,France,1997,255000
Irish Whiskey,Standard,France,1998,289000
Irish Whiskey,Standard,France,1999,327000
Irish Whiskey,Standard,France,2000,340000
Irish Whiskey,Standard,France,2001,393000
Irish Whiskey,Standard,France,2002,399500
Irish Whiskey,Standard,France,2003,398000
Irish Whiskey,Standard,France,2004,398000
Irish Whiskey,Standard,France,2005,379000
Irish Whiskey,Standard,France,2006,379750
Irish Whiskey,Standard,France,2007,370250
Irish Whiskey,Standard,France,2008,370000
Irish Whiskey,Standard,France,2009,353000
Irish Whiskey,Standard,France,2010,380000
Irish Whiskey,Standard,France,2011,376000
Irish Whiskey,Standard,France,2012,365250
Irish Whiskey,Standard,France,2013,364000
Irish Whiskey,Standard,France,2014,364000
Irish Whiskey,Standard,France,2015,358250
Irish Whiskey,Standard,France,2016,345250
Irish Whiskey,Standard,South Africa,1990,7000
Irish Whiskey,Standard,South Africa,1991,6500
Irish Whiskey,Standard,South Africa,1992,7000
Irish Whiskey,Standard,South Africa,1993,8000
Irish Whiskey,Standard,South Africa,1994,9500
Irish Whiskey,Standard,South Africa,1995,11500
Irish Whiskey,Standard,South Africa,1996,20500
Irish Whiskey,Standard,South Africa,1997,24750
Irish Whiskey,Standard,South Africa,1998,26250
Irish Whiskey,Standard,South Africa,1999,29500
Irish Whiskey,Standard,South Africa,2000,30250
Irish Whiskey,Standard,South Africa,2001,34000
Irish Whiskey,Standard,South Africa,2002,36500
Irish Whiskey,Standard,South Africa,2003,40500
Irish Whiskey,Standard,South Africa,2004,62000
Irish Whiskey,Standard,South Africa,2005,87500
Irish Whiskey,Standard,South Africa,2006,131000
Irish Whiskey,Standard,South Africa,2007,168000
Irish Whiskey,Standard,South Africa,2008,195000
Irish Whiskey,Standard,South Africa,2009,200500
Irish Whiskey,Standard,South Africa,2010,208000
Irish Whiskey,Standard,South Africa,2011,209500
Irish Whiskey,Standard,South Africa,2012,211250
Irish Whiskey,Standard,South Africa,2013,229000
Irish Whiskey,Standard,South Africa,2014,243750
Irish Whiskey,Standard,South Africa,2015,278750
Irish Whiskey,Standard,South Africa,2016,308250
Irish Whiskey,Standard,Russia,1990,
Irish Whiskey,Standard,Russia,1991,750
Irish Whiskey,Standard,Russia,1992,1250
Irish Whiskey,Standard,Russia,1993,2750
Irish Whiskey,Standard,Russia,1994,3500
Irish Whiskey,Standard,Russia,1995,5000
Irish Whiskey,Standard,Russia,1996,6000
